Catch Date,District Name,Stat Area,Deliveries,Chinook Count,Sockeye Count,Coho Count,Pink Count,Chum Count,Total Count,Catch Date,Year
2018-09-12,325 - Nushagak,Nushagak Set,,,,,,,,2018-09-12,2018
2018-09-11,325 - Nushagak,Nushagak Set,,,,,,,,2018-09-11,2018
2018-09-06,326 - Togiak,Togiak Drift,,,,,,,,2018-09-06,2018
2018-09-06,326 - Togiak,Togiak Set,11,0,186,1481,0,1,1668,2018-09-06,2018
2018-09-05,326 - Togiak,Togiak Set,8,0,96,927,0,1,1024,2018-09-05,2018
2018-09-04,326 - Togiak,Togiak Drift,,,,,,,,2018-09-04,2018
2018-09-04,326 - Togiak,Togiak Set,16,0,163,1517,0,4,1684,2018-09-04,2018
2018-09-03,326 - Togiak,Togiak Set,6,0,61,535,0,0,596,2018-09-03,2018
2018-08-31,326 - Togiak,Togiak Set,5,0,219,765,3,0,987,2018-08-31,2018
2018-08-30,326 - Togiak,Togiak Drift,,,,,,,,2018-08-30,2018
2018-08-30,326 - Togiak,Togiak Set,16,1,231,1512,4,1,1749,2018-08-30,2018
2018-08-29,326 - Togiak,Togiak Drift,4,0,156,955,0,0,1111,2018-08-29,2018
2018-08-29,326 - Togiak,Togiak Set,29,0,355,2552,19,13,2939,2018-08-29,2018
2018-08-28,326 - Togiak,Togiak Drift,,,,,,,,2018-08-28,2018
2018-08-28,326 - Togiak,Togiak Set,21,0,498,1419,4,3,1924,2018-08-28,2018
2018-08-27,326 - Togiak,Togiak Drift,3,1,92,963,0,4,1060,2018-08-27,2018
2018-08-27,326 - Togiak,Togiak Set,15,0,442,1060,6,8,1516,2018-08-27,2018
2018-08-24,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-24,2018
2018-08-24,326 - Togiak,Togiak Drift,,,,,,,,2018-08-24,2018
2018-08-24,326 - Togiak,Togiak Set,9,1,205,650,1,7,864,2018-08-24,2018
2018-08-23,322 - Egegik,32200 - Egegik Drift,,,,,,,,2018-08-23,2018
2018-08-23,322 - Egegik,Egegik Set,,,,,,,,2018-08-23,2018
2018-08-23,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-23,2018
2018-08-23,326 - Togiak,Togiak Drift,5,0,331,1871,0,4,2206,2018-08-23,2018
2018-08-23,326 - Togiak,Togiak Set,33,3,864,2633,21,30,3551,2018-08-23,2018
2018-08-22,322 - Egegik,32200 - Egegik Drift,,,,,,,,2018-08-22,2018
2018-08-22,322 - Egegik,Egegik Set,,,,,,,,2018-08-22,2018
2018-08-22,325 - Nushagak,32500 - Nushagak Drift,,,,,,,,2018-08-22,2018
2018-08-22,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-22,2018
2018-08-22,326 - Togiak,Togiak Drift,5,1,181,583,8,5,778,2018-08-22,2018
2018-08-22,326 - Togiak,Togiak Set,34,3,1163,2382,50,72,3670,2018-08-22,2018
2018-08-21,322 - Egegik,32200 - Egegik Drift,,,,,,,,2018-08-21,2018
2018-08-21,322 - Egegik,Egegik Set,,,,,,,,2018-08-21,2018
2018-08-21,325 - Nushagak,32500 - Nushagak Drift,,,,,,,,2018-08-21,2018
2018-08-21,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-21,2018
2018-08-21,326 - Togiak,Togiak Drift,7,0,208,1204,7,7,1426,2018-08-21,2018
2018-08-21,326 - Togiak,Togiak Set,27,0,1355,1344,35,20,2754,2018-08-21,2018
2018-08-20,322 - Egegik,32200 - Egegik Drift,,,,,,,,2018-08-20,2018
2018-08-20,322 - Egegik,Egegik Set,,,,,,,,2018-08-20,2018
2018-08-20,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-20,2018
2018-08-20,326 - Togiak,Togiak Drift,4,0,270,1130,0,7,1407,2018-08-20,2018
2018-08-20,326 - Togiak,Togiak Set,18,0,318,657,7,7,989,2018-08-20,2018
2018-08-19,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-19,2018
2018-08-19,326 - Togiak,Togiak Drift,,,,,,,,2018-08-19,2018
2018-08-19,326 - Togiak,Togiak Set,3,0,411,168,4,3,586,2018-08-19,2018
2018-08-18,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-18,2018
2018-08-18,326 - Togiak,Togiak Set,5,0,407,154,7,5,573,2018-08-18,2018
2018-08-17,324 - Naknek-Kvichak,Naknek-Kvichak Set,,,,,,,,2018-08-17,2018
2018-08-17,325 - Nushagak,32500 - Nushagak Drift,,,,,,,,2018-08-17,2018
2018-08-17,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-17,2018
2018-08-17,326 - Togiak,Togiak Drift,4,0,1039,770,75,26,1910,2018-08-17,2018
2018-08-17,326 - Togiak,Togiak Set,29,0,1790,747,130,63,2730,2018-08-17,2018
2018-08-16,322 - Egegik,32200 - Egegik Drift,,,,,,,,2018-08-16,2018
2018-08-16,322 - Egegik,Egegik Set,,,,,,,,2018-08-16,2018
2018-08-16,324 - Naknek-Kvichak,32400 - Naknek-Kvichak Drift,,,,,,,,2018-08-16,2018
2018-08-16,325 - Nushagak,32500 - Nushagak Drift,,,,,,,,2018-08-16,2018
2018-08-16,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-16,2018
2018-08-16,326 - Togiak,Togiak Drift,11,1,1961,965,121,49,3097,2018-08-16,2018
2018-08-16,326 - Togiak,Togiak Set,45,3,4268,974,205,81,5531,2018-08-16,2018
2018-08-15,322 - Egegik,32200 - Egegik Drift,,,,,,,,2018-08-15,2018
2018-08-15,322 - Egegik,Egegik Set,,,,,,,,2018-08-15,2018
2018-08-15,324 - Naknek-Kvichak,32400 - Naknek-Kvichak Drift,,,,,,,,2018-08-15,2018
2018-08-15,324 - Naknek-Kvichak,Naknek-Kvichak Set,,,,,,,,2018-08-15,2018
2018-08-15,325 - Nushagak,32500 - Nushagak Drift,,,,,,,,2018-08-15,2018
2018-08-15,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-15,2018
2018-08-15,326 - Togiak,Togiak Drift,3,0,860,191,13,22,1086,2018-08-15,2018
2018-08-15,326 - Togiak,Togiak Set,63,2,5245,1142,262,57,6708,2018-08-15,2018
2018-08-14,322 - Egegik,32200 - Egegik Drift,,,,,,,,2018-08-14,2018
2018-08-14,322 - Egegik,Egegik Set,,,,,,,,2018-08-14,2018
2018-08-14,324 - Naknek-Kvichak,Naknek-Kvichak Set,,,,,,,,2018-08-14,2018
2018-08-14,326 - Togiak,Togiak Drift,4,0,201,57,16,5,279,2018-08-14,2018
2018-08-14,326 - Togiak,Togiak Set,26,3,2033,507,111,25,2679,2018-08-14,2018
2018-08-13,324 - Naknek-Kvichak,Naknek-Kvichak Set,,,,,,,,2018-08-13,2018
2018-08-13,326 - Togiak,Togiak Set,,,,,,,,2018-08-13,2018
2018-08-12,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-12,2018
2018-08-11,325 - Nushagak,32500 - Nushagak Drift,,,,,,,,2018-08-11,2018
2018-08-11,325 - Nushagak,Nushagak Set,,,,,,,,2018-08-11,2018
